ExportDate	StudioVersionRec	StudioProjectName	StudioTestName	ParticipantName	[Q1]Value	[Q02]Value	RecordingName	RecordingDate	RecordingDuration	RecordingResolution	PresentationSequence	FixationFilter	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	MediaWidth	MediaHeight	SegmentName	SegmentStart	SegmentEnd	SegmentDuration	SceneName	SceneSegmentStart	SceneSegmentEnd	SceneSegmentDuration	RecordingTimestamp	LocalTimeStamp	EyeTrackerTimestamp	MouseEventIndex	MouseEvent	MouseEventX (ADCSpx)	MouseEventY (ADCSpx)	MouseEventX (MCSpx)	MouseEventY (MCSpx)	KeyPressEventIndex	KeyPressEvent	StudioEventIndex	StudioEvent	StudioEventData	ExternalEventIndex	ExternalEvent	ExternalEventValue	EventMarkerValue	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	SaccadicAmplitude	AbsoluteSaccadicDirection	RelativeSaccadicDirection	AOI[black puppy]Hit	GazePointIndex	GazePointLeftX (ADCSpx)	GazePointLeftY (ADCSpx)	GazePointRightX (ADCSpx)	GazePointRightY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)	GazePointLeftX (ADCSmm)	GazePointLeftY (ADCSmm)	GazePointRightX (ADCSmm)	GazePointRightY (ADCSmm)	StrictAverageGazePointX (ADCSmm)	StrictAverageGazePointY (ADCSmm)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	EyePosLeftZ (ADCSmm)	EyePosRightX (ADCSmm)	EyePosRightY (ADCSmm)	EyePosRightZ (ADCSmm)	CamLeftX	CamLeftY	CamRightX	CamRightY	DistanceLeft	DistanceRight	PupilLeft	PupilRight	ValidityLeft	ValidityRight	IRMarkerCount	IRMarkerID	PupilGlassesRight	
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														353	15:29:39.378	4331586231529																	4	Saccade	83							41	981	487	974	553	977	520			269.30	163.09	267.24	144.96	268.27	154.02	233.45	327.31	588.39	301.79	321.26	586.17					664.71	664.71	-1.00	-1.00	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														362	15:29:39.387	4331586239967																	4	Saccade	83							42	981	487	1008	506	994	496			269.30	163.09	276.67	157.77	272.98	160.43	233.49	327.31	588.34	301.84	321.37	586.26					664.67	664.67	2.70	3.08	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														370	15:29:39.395	4331586248242																	4	Saccade	83							43	999	519	946	580	972	549			274.24	154.30	259.64	137.61	266.94	145.95	233.51	327.23	588.19	301.85	321.40	586.30					664.50	664.50	-1.00	-1.00	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														378	15:29:39.403	4331586256531																	4	Saccade	83							44	1025	488	948	577	986	532			281.24	162.82	260.08	138.36	270.66	150.59	233.44	327.15	588.05	301.82	321.44	586.41					664.34	664.34	-1.00	-1.00	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														386	15:29:39.411	4331586264927																	4	Saccade	83							45			974	509	974	509					267.25	156.96						301.85	321.52	586.49						664.39		2.71	4	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														395	15:29:39.420	4331586273237																	4	Saccade	83							46	1000	460	1009	517	1004	488			274.62	170.42	276.93	154.69	275.78	162.55	233.47	326.97	587.77	301.85	321.52	586.52					664.01	664.01	-1.00	-1.00	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														403	15:29:39.428	4331586281567																	4	Saccade	83							47	977	500	981	545	979	522			268.29	159.53	269.38	147.25	268.84	153.39	233.40	326.86	587.63	301.81	321.52	586.64					663.84	663.84	-1.00	-1.00	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														411	15:29:39.436	4331586289906																	4	Saccade	83							48			1012	523	1012	523					277.73	153.30						301.84	321.60	586.73						663.89		3.10	4	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														420	15:29:39.445	4331586298224																	4	Saccade	83							49	1008	535	962	586	985	560			276.64	149.85	263.97	135.73	270.30	142.79	233.44	326.64	587.33	301.84	321.59	586.77					663.46	663.46	-1.00	-1.00	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														428	15:29:39.453	4331586306559																	4	Saccade	83							50	1030	500	1013	474	1021	487			282.67	159.47	278.08	166.71	280.38	163.09	233.38	326.50	587.13	301.81	321.59	586.83					663.22	663.22	-1.00	-1.00	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														437	15:29:39.462	4331586315010																		Unclassified	8							51			1013	474	1013	474					278.08	166.71						301.82	321.64	586.84						663.26		3.11	4	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														445	15:29:39.470	4331586323224																	5	Saccade	17							52	1019	506	1022	486	1020	496			279.78	157.81	280.63	163.41	280.20	160.61	233.43	326.28	586.73	301.82	321.60	586.78					662.76	662.76	-1.00	-1.00	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														453	15:29:39.478	4331586331610																	5	Saccade	17							53	998	521	1009	499	1003	510			273.99	153.77	276.99	159.87	275.49	156.82	233.37	326.17	586.54	301.77	321.58	586.78					662.55	662.55	-1.00	-1.00	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														461	15:29:39.486	4331586339888																		Unclassified	8							54			983	555	983	555					269.75	144.35						301.80	321.59	586.75						662.59		2.91	4	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														470	15:29:39.495	4331586348234																	6	Saccade	83							55	1000	469	981	565	990	517			274.54	168.07	269.40	141.68	271.97	154.87	233.42	325.97	586.23	301.79	321.53	586.66					662.18	662.18	-1.00	-1.00	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														478	15:29:39.503	4331586356554																	6	Saccade	83							56	1009	452	1022	498	1015	475			277.08	172.59	280.40	160.02	278.74	166.30	233.38	325.86	586.11	301.74	321.47	586.66					662.02	662.02	-1.00	-1.00	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														486	15:29:39.511	4331586364891																	6	Saccade	83							57			1034	501	1034	501					283.78	159.16						301.71	321.48	586.63						662.07		2.75	4	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														495	15:29:39.520	4331586373213																	6	Saccade	83							58	970	465	971	535	970	500			266.22	169.05	266.39	149.88	266.31	159.47	233.25	325.67	585.84	301.56	321.42	586.56					661.70	661.70	-1.00	-1.00	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														503	15:29:39.528	4331586381556																	6	Saccade	83							59	856	483	903	543	879	513			234.91	164.10	247.95	147.74	241.43	155.92	233.05	325.59	585.71	301.36	321.41	586.55					661.56	661.56	-1.00	-1.00	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														511	15:29:39.536	4331586389886																	6	Saccade	83							60	856	483	906	517	881	500			234.93	164.20	248.55	154.89	241.74	159.55	232.95	325.54	585.61	301.24	321.46	586.55					661.45	661.45	3.04	2.73	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														520	15:29:39.545	4331586398212																	6	Saccade	83							61	828	506	829	546	828	526			227.28	157.73	227.48	146.76	227.38	152.25	232.91	325.47	585.47	301.15	321.46	586.50					661.29	661.29	-1.00	-1.00	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														528	15:29:39.553	4331586406581																	6	Saccade	83							62	858	568	807	507	832	537			235.57	140.85	221.41	157.56	228.49	149.20	232.83	325.45	585.38	301.08	321.48	586.52					661.21	661.21	-1.00	-1.00	0	0				
